Species,Body_Temp_C,Body_mass_g,Basal_Met_Rate_W,Air_temp_C
Dobsonia moluccensis,36.8,404.3,2.052,16.2
Bathyergus janetta,34.7,406,1.201,14.3
Chinchilla lanigera,35.7,426,1.117,5.7
Isoodon auratus,33.8,428,0.837,21.8
Brachylagus idahoensis,,432,2.145,6.9
Sciurus carolinensis,38.7,440,2.062,10.8
Paraechinus aethiopicus,34.2,450,0.606,
Hemicentetes semispinosus,,450,0.628,18.3
Atelerix albiventris,35.2,450,0.828,24.4
Epixerus ebii,,460,1.347,22.4
Ctenomys peruanus,35.2,490,1.230,4.9
Proechimys semispinosus,37.9,498,1.750,18.7
Pteropus hypomelanus,35.7,520.8,1.618,11.1
Setifer setosus,32.2,530,0.680,19.2
Galerella sanguinea,38.7,540,2.287,22.6
Xerus inauris,36.8,542,1.820,19.0
Dasyurus hallucatus,35.9,558,1.356,20.2
Pteropus giganteus,36.7,562.2,1.622,23.0
Pteropus poliocephalus,36.5,598,1.768,13.9
Spermophilus beecheyi,37.6,599.6,1.773,9.4
Xerus princeps,37.6,602,1.897,17.2
Spermophilus franklinii,36.6,607,2.190,6.5
Herpestes javanicus,39.8,611,2.248,19.6
Bathyergus suillus,35.3,620,1.695,12.7
Spilogale putorius,36.4,624,1.674,12.1
Sciurus aberti,40.7,624,2.402,
Cavia porcellus,39.0,629,1.930,
Aplodontia rufa,38.0,630,1.546,6.0
Perameles nasuta,36.1,645,1.763,14.0
Tenrec ecaudatus,33.0,650,0.729,19.0
Spermophilus parryi,37.0,650,2.901,-9.7
Neovison vison,39.0,660,2.722,
Sylvilagus audubonii,38.3,672.4,2.443,12.6
Spermophilus undulatus,38.0,680,3.721,-5.1
Ornithorhynchus anatinus,32.1,693,1.082,12.9
Echymipera kalubu,35.0,695,1.838,19.2
Isoodon obesulus,33.9,717,1.238,11.2
Echinosorex gymnura,36.3,721.2,2.816,20.2
Erinaceus europaeus,35.6,750,1.883,6.0
Philander opossum,35.8,751,1.886,23.1
Geocapromys ingrahami,,775,1.483,
Kerodon rupestris,38.2,801,2.011,23.0
Lutreolina crassicaudata,35.8,812,2.265,19.1
Uromys caudimaculatus,37.1,812,3.184,19.6
Aotus trivirgatus,38.0,820,2.466,24.8
Erinaceus concolor,35.2,822.7,1.937,7.9
Perameles gunnii,35.2,837,2.343,10.1
Suricata suricatta,36.3,850,1.729,17.2
Saimiri sciureus,38.0,875,4.468,24.8
Hydromys chrysogaster,36.6,900,2.970,18.6
Martes americana,38.0,900,3.319,-2.5
Myoprocta acouchy,35.4,914,2.804,24.7
Pseudocheirus peregrinus,37.4,916,2.402,15.8
Martes martes,,920,4.000,4.0
Chironectes minimus,35.0,935,2.549,21.5
Otolemur crassicaudatus,38.0,950,2.298,21.1
Perodicticus potto,36.1,964,1.824,23.4
Potorous tridactylus,35.9,976,2.323,10.3
Dasyurus viverrinus,36.6,982,2.210,7.0
Ondatra zibethicus,37.4,1004.6,3.586,2.9
Leptailurus serval,36.5,1012,1.440,22.9
Bettongia penicillata,37.2,1018,3.132,18.0
Pteropus vampyrus,36.9,1024.3,4.486,18.2
Chaetophractus vellerosus,34.4,1110,1.707,20.2
Petauroides volans,35.4,1141,3.202,15.9
Tolypeutes matacus,33.0,1160,1.172,21.3
Nycticebus coucang,35.4,1160,1.523,20.6
Procyon cancrivorus,37.6,1160,2.588,23.0
Didelphis marsupialis,35.0,1165,3.185,23.5
Vulpes zerda,38.8,1215,3.252,24.5
Echymipera rufescens,35.2,1276,3.018,18.6
Bassariscus sumichrasti,38.8,1280,3.537,20.9
Macrotis lagotis,35.0,1294,2.510,23.2
Otolemur garnettii,,1314,3.927,22.0
Dasyurus geoffroii,36.2,1354,3.172,14.3
Manis tricuspis,32.6,1365,1.540,23.3
Bettongia gaimardi,35.6,1385,3.578,7.9
Manis tetradactyla,33.0,1430,1.278,23.3
Isoodon macrourus,35.9,1551,3.202,19.9
Lepus americanus,39.8,1581,8.468,-1.2
Dolichotis salinicola,38.4,1613,4.050,20.0
Tragulus javanicus,,1618,4.865,22.2
Genetta tigrina,,1698,4.167,15.5
Zaedyus pichiy,35.2,1740,2.192,9.3
Vulpes macrotis,38.0,1769,4.780,
Vulpes velox,,1769,4.948,12.3
Dasyurus maculatus,36.9,1782,3.281,13.8
Cricetomys gambianus,35.6,1870,6.364,23.7
Heterohyrax brucei,36.7,2000,4.017,21.8
Oryctolagus cuniculus,39.0,2000,6.360,9.6
Trichosurus vulpecula,36.0,2005,4.081,16.5
Arctogalidia trivirgata,36.2,2010,3.085,20.4
Chaetophractus nationi,35.5,2150,3.118,4.3
Dendrohyrax dorsalis,,2210,4.190,23.1
Fossa fossana,37.9,2260,5.090,19.3
Pedetes capensis,35.9,2300,4.427,20.2
Lepus californicus,39.2,2300,7.314,13.0
Eulemur fulvus,36.5,2330,4.162,19.5
Potos flavus,36.1,2343,4.441,23.1
Lepus townsendii,38.2,2430,7.051,5.3
Geocapromys brownii,,2456,4.110,7.2
Didelphis virginiana,35.0,2488,4.641,15.4
Capromys pilorides,36.1,2630,3.375,13.9
Marmota monax,37.0,2650,3.696,2.6
Lagorchestes conspicillatus,36.0,2660,4.749,23.2
Setonix brachyurus,36.3,2674,4.654,10.5
Dasyprocta leporina,38.3,2687,8.694,23.7
Tachyglossus aculeatus,30.7,2725,2.404,19.7
Procavia capensis,39.0,2750,6.354,22.8
Aepyprymnus rufescens,36.5,2820,5.978,17.9
Eira barbara,38.4,2950,6.811,22.6
Erythrocebus patas,,3000,5.958,26.1
Lepus alleni,37.9,3000,9.205,17.3
Lepus arcticus,38.9,3004.4,6.036,-11.4
Lepus timidus,39.7,3025,11.815,-5.0
Paradoxurus hermaphroditus,36.5,3160,7.665,20.2
Coendou prehensilis,36.7,3280,5.123,23.5
Propithecus verreauxi,,3350,3.738,19.6
Tamandua tetradactyla,33.5,3500,5.015,23.4
Dasypus novemcinctus,34.5,3510,4.825,21.5
Leopardus wiedii,38.0,3600,5.227,22.7
Vulpes lagopus,38.6,3600,7.665,
Manis pentadactyla,33.4,3637.5,3.727,16.6
Nasua narica,38.6,3670,6.733,18.5
Choloepus hoffmanni,34.4,3770,3.364,21.3
Bradypus variegatus,33.0,3790,3.827,23.8
Dasyprocta azarae,37.5,3849,10.521,20.9
Tamandua mexicana,32.0,3977,5.534,19.6
Nasua nasua,36.4,4000,5.346,23.5
Philantomba monticola,,4200,10.075,
